nconst,name,known_for_department,popularity,sex
nm0654767,Madeleine Ozeray,Acting,0.608,male
nm0036755,Robert Arnoux,Acting,1.4,female
nm0869765,Roland Toutain,Acting,0.6,female
nm0597175,Ferenc Molnár,Writing,0.98,female
nm0509510,Robert Liebmann,Writing,1.4,female
nm0956599,Bernard Zimmer,Writing,0.84,0
nm0690143,Erich Pommer,Production,1.5659999999999998,female
nm0644420,Mortimer Offner,Writing,0.608,0
nm0063619,John Beal,Acting,1.27,female
nm0002118,Alan Hale,Acting,2.2030000000000003,female
nm0908831,Richard Wallace,Directing,1.739,female
nm0057381,J.M. Barrie,Writing,0.659,female
nm0775976,B.P. Schulberg,Production,0.6,female
nm0217306,Dorothy Dell,Acting,0.6,male
nm0001948,Charles Bickford,Acting,3.622,female
nm0513529,William R. Lipman,Writing,2.5,female
nm0375500,Sam Hellman,Writing,1.052,female
nm0662219,Eddie Parker,Acting,1.4,female
nm0790995,Barbara Sheldon,Acting,0.6,male
nm0926103,Lloyd Whitlock,Acting,1.4,female
nm0930539,Emlyn Williams,Acting,1.021,female
nm0078923,Edna Best,Acting,1.0759999999999998,male
nm0903687,Frank Vosper,Acting,1.4,female
nm0339326,Edwin Greenwood,Writing,0.6,female
nm0712653,A.R. Rawlinson,Writing,1.78,female
nm0949961,Polly Ann Young,Acting,1.4,male
nm0133021,Anita Campillo,Acting,0.6,male
nm0049608,Michael Balcon,Production,0.98,female
nm0339346,John Greenwood,Sound,0.6,female
nm0325809,John Monck,Editing,0.6,0
nm0695554,Thomas Pratt,Editing,0.6,female
nm0289188,Paul Hervey Fox,Writing,1.4,0
nm0128361,Arthur Caesar,Writing,0.6920000000000001,female
nm0201288,Jenny Dark,Acting,0.6,0
nm0940513,Bill Woods,Acting,0.6,0
nm0139356,Horace B. Carpenter,Acting,1.4,female
nm0250395,Ted Edwards,Acting,0.648,female
nm0226888,Phyllis Diller,Acting,0.6,male
nm0260871,Dwain Esper,Directing,0.6,female
nm0821131,Hildegarde Stadie,Writing,0.6,0
nm0860847,William C. Thompson,Camera,0.6,female
nm0042553,William Austin,Editing,0.98,0
nm0076870,Professeur Choron,Acting,0.6940000000000001,female
nm0201638,Danielle Darrieux,Acting,1.4,male
nm0591271,Pierre Mingand,Acting,0.6,0
nm0302678,Raymond Galle,Acting,0.6,0
nm0260391,Paul Escoffier,Acting,0.6,0
nm0261971,Alexander Esway,Directing,1.4,0
nm0000697,Billy Wilder,Writing,4.481,female
nm0464378,Max Kolpé,Writing,0.652,female
nm0700020,Claude-André Puget,Writing,0.6,female
nm0009766,Marcel Achard,Writing,1.62,female
nm0885253,Marcel Vallée,Acting,0.6,female
nm0529618,Viktor Léon,Writing,0.84,female
nm0825551,Leo Stein,Writing,0.6,0
nm0957542,Leo Zochling,Editing,0.6,female
nm0401434,Henry Hull,Acting,1.4,female
nm0259838,Chester Erskine,Writing,1.176,female
nm0797390,Paul Sifton,Writing,0.6,0
nm0797388,Claire Sifton,Writing,0.6,0
nm0826020,William O. Steiner,Camera,0.6,female
nm0916379,George Webber,Crew,0.6,0
nm0062428,Harry Baur,Acting,1.694,female
nm0044139,Paul Azaïs,Acting,0.652,female
nm0213172,Max Dearly,Acting,0.6,female
nm0401076,Victor Hugo,Writing,1.913,female
nm0096182,Raymond Borderie,Production,0.6,female
nm0006131,Arthur Honegger,Sound,0.98,female
nm0485806,June Lang,Acting,1.4,male
nm0562004,Joe May,Directing,0.6,female
nm0006153,Jerome Kern,Writing,0.6,female
nm0358564,Oscar Hammerstein II,Writing,1.4,female
nm0949617,Howard Irving Young,Writing,0.652,female
nm0510024,Louis D. Lighton,Production,0.764,female
nm0368871,Henry Hathaway,Directing,1.75,0
nm0456646,Jack Kirkland,Writing,0.6,0
nm0856923,Sylvia Thalberg,Writing,0.98,male
nm0214168,Frances Dee,Acting,1.837,male
nm0169556,Lester Cohen,Writing,0.6,female
nm0206802,Frank Mitchell Dazey,Writing,0.652,0
nm0607190,Joe Morrison,Acting,0.6,female
nm0045128,Baby LeRoy,Acting,0.833,0
nm0064415,William Beaudine,Directing,1.042,female
nm0147749,Ralph Ceder,Directing,0.98,0
nm0662335,Jean Parker,Acting,1.59,male
nm0338751,Eve Greene,Writing,1.7009999999999998,male
nm0150432,Robert W. Chambers,Writing,0.98,0
nm0636475,Lloyd Nosler,Editing,0.6,female
nm0444740,Tom Keene,Acting,1.5019999999999998,female
nm0702798,John Qualen,Acting,1.609,female
nm0672571,Barbara Pepper,Acting,1.4,male
nm0384227,Elizabeth Hill,Writing,0.6,male
nm0686514,Robert H. Planck,Camera,0.6,female
nm0891136,Alberta Vaughn,Acting,1.052,0
nm0469915,Norman Krasna,Writing,1.168,female
nm0002228,Nicholas Musuraca,Camera,1.185,female
nm0188701,George Crone,Editing,1.4,0
nm0496473,Francis Lederer,Acting,1.4,female
nm0389824,Arthur Hohl,Acting,2.556,female
nm0124977,Jimmy Butler,Acting,0.6,female
nm0442137,Edward Kaufman,Writing,0.608,female
nm0366942,Don Hartman,Writing,2.4090000000000003,female
nm0918318,Lawrence Weingarten,Production,0.84,female
nm0415488,Sam Jaffe,Acting,1.96,female
nm0237571,Louise Dresser,Acting,1.4,male
nm0643353,Merle Oberon,Acting,2.07,male
nm0557339,Raymond Massey,Acting,0.98,female
nm0115558,Nigel Bruce,Acting,1.5530000000000002,female
nm0949597,Harold Young,Directing,1.176,female
nm0649478,Baroness Emmuska Orczy,Writing,0.621,male
nm0033169,Ubaldo Arata,Crew,0.6,0
nm0592109,Isa Miranda,Acting,1.761,male
nm0070221,Memo Benassi,Acting,0.6,female
nm0667827,Tatyana Pavlova,Acting,1.1640000000000001,0
nm0071001,Friedrich Benfer,Acting,0.6,female
nm0331878,Salvatore Gotta,Writing,0.6,0
nm0005945,Daniele Amfitheatrof,Sound,1.38,female
nm0805701,Martha Sleeper,Acting,1.4,male
nm0901617,Lula Vollmer,Writing,0.6,male
nm0605093,William Morgan,Editing,1.4,female
nm0245429,Earl Dwire,Acting,1.5659999999999998,female
nm0384978,Verna Hillie,Acting,1.052,male
nm0290767,Billy Franey,Acting,1.4,0
nm0146905,Paul Cavanagh,Acting,2.485,female
nm0316539,Cedric Gibbons,Art,2.682,female
nm0570985,James C. McKay,Editing,0.6,0
nm0570130,James Kevin McGuinness,Writing,1.4,female
nm0314351,Marion Gering,Directing,1.4,male
nm0664022,Frank Partos,Writing,2.7439999999999998,0
nm0087926,Charles Blavette,Acting,1.018,female
nm0598889,Celia Montalván,Acting,0.6,male
nm0405716,Jenny Hélia,Acting,0.6559999999999999,male
nm0217612,Édouard Delmont,Acting,1.4,female
nm0102554,Paul Bozzi,Acting,0.6,0
nm0005841,Claude Renoir,Camera,0.6,female
nm0000890,Noah Beery Jr.,Acting,1.4,female
nm0193617,James Oliver Curwood,Writing,1.411,female
nm0493251,John Howard Lawson,Writing,1.166,female
nm0406459,Dolores Ibárruri,Acting,0.6,0
nm0472809,Nadezhda Krupskaya,Acting,0.6,0
nm0501924,Vladimir Lenin,Acting,0.6,female
nm0821672,Joseph Stalin,Acting,1.4,female
nm0895048,Dziga Vertov,Directing,1.158,female
nm0536055,Mark Magidson,Camera,0.6,female
nm0597583,Bentsion Monastyrsky,Crew,0.6,0
nm0839592,Dmitri Surensky,Camera,0.6,female
nm0041000,Karl Attenberger,Camera,0.98,female
nm0386944,Adolf Hitler,Acting,2.089,female
nm0351425,Hermann Göring,Acting,1.186,female
nm0023907,Max Amann,Acting,0.6,0
nm0097006,Martin Bormann,Acting,1.094,female
nm0752193,Walter Ruttmann,Directing,0.98,female
nm1168002,Eberhard Taubert,Writing,0.6,0
nm0934819,Herbert Windt,Sound,0.98,0
nm0005634,Sepp Allgeier,Crew,1.4,female
nm0849439,Reikô Tani,Acting,1.96,0
nm0594062,Kôji Mitsui,Acting,1.96,female
nm0875208,Yoshiko Tsubouchi,Acting,1.932,0
nm0882607,Leonid Utyosov,Acting,0.6,0
nm0650144,Lyubov Orlova,Acting,1.018,male
nm0834225,Mariya Strelkova,Acting,1.4,0
nm0878688,Yelena Tyapkina,Acting,1.094,male
nm0017893,Grigori Aleksandrov,Directing,1.7080000000000002,female
nm0258755,Nikolay Erdman,Writing,1.4,female
nm0557066,Vladimir Mass,Writing,0.6,0
nm0241812,Isaak Dunayevsky,Sound,0.6,female
nm0122675,George Burns,Acting,1.421,female
nm0020555,Gracie Allen,Acting,1.03,male
nm0810304,Walton Hall Smith,Writing,0.6,0
nm0571186,Lafe McKee,Acting,1.67,female
nm0265551,Virginia Brown Faire,Acting,0.9940000000000001,male
nm0236980,Oliver Drake,Writing,1.4,0
nm0005720,Alfred Gilks,Camera,0.6,female
nm0550583,Joan Marsh,Acting,1.96,male
nm0185568,Buster Crabbe,Acting,1.104,0
nm0878604,Derek N. Twist,Editing,0.6,female
nm0140914,Madeleine Carroll,Acting,1.5930000000000002,male
nm0543169,Lucie Mannheim,Acting,2.069,male
nm0853607,Godfrey Tearle,Acting,1.052,female
nm0117955,John Buchan,Writing,1.38,female
nm0067308,Ian Hay,Writing,0.6,0
nm0461497,Bernard Knowles,Camera,1.305,female
nm0096129,Ethel B. Borden,Writing,0.98,0
nm0292433,William Frawley,Acting,2.5860000000000003,female
nm0113873,Joe E. Brown,Acting,1.6159999999999999,female
nm0000014,Olivia de Havilland,Acting,2.853,male
nm0232766,Ruth Donnelly,Acting,1.4,male
nm0488066,Ring Lardner,Writing,0.6,0
nm0354317,William Wister Haines,Writing,1.38,0
nm0002568,Robert De Grasse,Camera,0.6,female
nm0534045,Fred MacMurray,Acting,2.256,female
nm0831872,Fred Stone,Acting,1.048,female
nm0828419,George Stevens,Directing,2.261,female
nm0000861,Freddie Bartholomew,Acting,1.435,female
nm0866243,Leo Tolstoy,Writing,3.2,female
nm0647752,Moroni Olsen,Acting,1.837,female
nm0768540,Joel Sayre,Writing,1.4,0
nm0878605,John Twist,Writing,1.62,female
nm0276284,Joseph Fields,Writing,1.4,female
nm0011485,Ewart Adamson,Writing,0.98,female
nm0927484,Jean Wiener,Sound,1.048,female
nm0300064,Jean Gabin,Acting,1.62,female
nm0494670,Robert Le Vigan,Acting,1.7080000000000002,female
nm0245213,Julien Duvivier,Directing,1.827,female
nm0241409,Pierre Dumarchais,Writing,1.38,0
nm0816458,Charles Spaak,Writing,0.84,female
nm0519487,Stephen Longstreet,Writing,0.6,0
nm0000974,Walter Brennan,Acting,1.54,female
nm0856842,William Makepeace Thackeray,Writing,1.115,female
nm0593517,Langdon Mitchell,Writing,0.6,0
nm0005738,Byron Haskin,Directing,1.22,female
nm0533692,Barton MacLane,Acting,2.415,female
nm0277874,Abem Finkel,Writing,0.605,0
nm0020979,Robert 'Tex' Allen,Acting,0.84,female
nm0356159,Thurston Hall,Acting,1.5530000000000002,female
nm0833949,Arthur Strawn,Writing,1.052,0
nm0128735,Richard Cahoon,Editing,0.6,0
nm0417829,William Janney,Acting,1.5530000000000002,female
nm0395023,James W. Horne,Directing,1.788,female
nm0595655,Jefferson Moffitt,Writing,1.4,0
nm0042317,Albert Austin,Acting,0.706,female
nm0333958,Carroll Graham,Writing,0.6,0
nm0088662,Lawrence G. Blochman,Writing,0.98,0
nm0006471,Elsa Lanchester,Acting,2.2680000000000002,male
nm0387753,Valerie Hobson,Acting,1.943,male
nm0076653,Josef Berne,Directing,0.6,female
nm0000912,Jack Benny,Acting,1.4,female
nm0007224,Eleanor Powell,Acting,0.6,male
nm0001791,Robert Taylor,Acting,1.919,female
nm0569650,Jack McGowan,Writing,0.7140000000000001,female
nm0799015,Sid Silvers,Writing,1.4,female
nm0366454,Moss Hart,Writing,0.98,0
nm0518711,Jack London,Writing,2.214,female
nm0001224,Errol Flynn,Acting,1.646,female
nm0001651,Basil Rathbone,Acting,1.706,female
nm0754581,Rafael Sabatini,Writing,0.6,female
nm0732452,Casey Robinson,Writing,2.349,female
nm0005803,Hal Mohr,Camera,0.6,female
nm0008441,David Abel,Camera,0.6,female
nm0158738,Jerome Chodorov,Writing,1.023,0
nm0871403,June Travis,Acting,1.61,male
nm0915693,Frank Wead,Writing,1.4,0
nm0753452,Morrie Ryskind,Writing,0.648,0
nm0909259,Hal B. Wallis,Production,1.4,female
nm0912491,Jack L. Warner,Production,1.8840000000000001,female
nm0163820,Daniel B. Clark,Crew,0.6,0
nm0665518,Pat Paterson,Acting,1.4,male
nm0065288,Thomas Beck,Acting,0.703,female
nm0000028,Rita Hayworth,Acting,1.4,male
nm0003422,Louis King,Directing,1.589,female
nm0517567,Helen Logan,Writing,1.4,0
nm0722424,Erik Rhodes,Acting,1.216,female
nm0782597,Lewis Seiler,Directing,1.5930000000000002,female
nm0218029,Nick DeMaggio,Editing,0.6,0
nm0381154,Irene Hervey,Acting,3.9530000000000003,male
nm0355755,Jon Hall,Acting,1.7080000000000002,female
nm0382954,Russell Hicks,Acting,1.4,female
nm0864006,James Tinling,Directing,1.4,female
nm0265617,Gerard Fairlie,Writing,1.38,0
nm0308611,Crosbie Garstin,Writing,0.6,0
nm0005644,Lucien Ballard,Camera,1.38,female
nm0083500,Tala Birell,Acting,0.735,male
nm0030916,Joseph Anthony,Writing,0.6,0
nm0234502,Fyodor Dostoevsky,Writing,2.415,female
nm0482959,Harold Lamb,Writing,0.98,female
nm0102818,Charles Brackett,Writing,2.2680000000000002,female
nm0191899,Irving Cummings,Directing,0.652,female
nm0574110,Patterson McNutt,Writing,0.6,0
nm0065753,Arthur J. Beckhard,Writing,0.608,0
nm0397022,Sonya Levien,Writing,0.608,male
nm0285264,Dick Foran,Acting,2.887,female
nm0253141,John Eldredge,Acting,1.4,female
nm0949141,Robert Yost,Writing,1.5659999999999998,0
nm0019604,Dante Alighieri,Crew,0.6,0
nm0066325,Janet Beecher,Acting,1.5659999999999998,male
nm0375484,Lillian Hellman,Writing,1.38,male
nm0787611,Mordaunt Shairp,Writing,0.6,female
nm0493365,Frank Lawton,Acting,1.186,female
nm0019922,Elizabeth Allan,Acting,1.4,male
nm0002042,Charles Dickens,Writing,1.38,female
nm0909484,Hugh Walpole,Writing,0.6,0
nm0601117,Dennis Moore,Acting,2.2680000000000002,female
nm0398139,Reed Howes,Acting,1.4,female
nm0869389,Wellyn Totman,Writing,1.4,0
nm0466505,Mary Kornman,Acting,1.4,male
nm0280707,Paul Fix,Acting,2.391,female
nm0151356,Eddy Chandler,Acting,1.014,female
nm0172485,Lewis D. Collins,Directing,1.052,female
nm0522223,Pierre Louÿs,Writing,1.38,0
nm0234287,John Dos Passos,Writing,0.6,0
nm0381082,David Hertz,Writing,1.4,female
nm0790031,Wini Shaw,Acting,1.4,male
nm0151949,Roy Chanslor,Writing,1.052,female
nm0531335,Richard Macaulay,Writing,1.838,female
nm0006297,Mischa Spoliansky,Sound,0.8290000000000001,0
nm0449095,Eric Keown,Writing,0.6,0
nm0449698,Geoffrey Kerr,Writing,0.6,0
nm0402842,Ian Hunter,Acting,0.7659999999999999,female
nm0837925,Margaret Sullavan,Acting,1.41,male
nm0385992,Jane Hinton,Writing,0.6,0
nm0132180,Alan Campbell,Writing,1.052,female
nm0021667,Astrid Allwyn,Acting,1.166,male
nm0276252,Herbert Fields,Writing,0.98,0
nm0000795,Jean Arthur,Acting,1.597,male
nm0822034,Lionel Stander,Acting,1.7109999999999999,female
nm0700717,Gertrude Purcell,Writing,1.4,male
nm0836182,John Stumar,Camera,1.38,female
nm0029456,Heather Angel,Acting,1.646,0
nm0334375,Margot Grahame,Acting,1.36,male
nm0641018,Liam O'Flaherty,Writing,0.6,female
nm0650684,Frank Orsatti,Writing,0.6,female
nm0005889,Harry Stradling Sr.,Camera,1.4,female
nm0741147,Françoise Rosay,Acting,1.4,male
nm0018091,André Alerme,Acting,1.149,female
nm0613576,Jean Murat,Acting,1.036,female
nm0431212,Louis Jouvet,Acting,2.0980000000000003,female
nm0275494,Jacques Feyder,Directing,1.0290000000000001,female
nm0826452,Robert A. Stemmle,Directing,1.4,female
nm0079883,Louis Beydts,Sound,0.6,0
nm0409069,Boris Ingster,Writing,0.648,female
nm0939796,John Wood,Acting,0.98,female
nm0606206,Irene Morra,Editing,1.4,male
nm0392442,Jack Holt,Acting,1.7080000000000002,female
nm0876223,Harry Tugend,Writing,1.38,0
nm0005870,John F. Seitz,Camera,1.544,female
nm0574112,William Slavens McNutt,Writing,1.4,0
nm0008280,Achmed Abdullah,Writing,0.6,0
nm0236903,Frances Drake,Acting,1.4,male
nm0372384,Ted Healy,Acting,1.052,female
nm0719165,Maurice Renard,Writing,0.6,0
nm0187693,Florence Crewe-Jones,Writing,0.6,0
nm0256880,Guy Endore,Writing,1.4,female
nm0299026,Betty Furness,Acting,1.5659999999999998,male
nm0642005,George O'Neil,Writing,0.98,0
nm0235160,Lloyd C. Douglas,Writing,1.577,0
nm0801647,John Sinclair,Acting,0.764,female
nm0840316,Grady Sutton,Acting,1.018,female
nm0365222,Ray Harris,Writing,0.985,0
nm0341185,Frank Griffin,Directing,1.4,0
nm0939738,Harley Wood,Acting,1.4,0
nm0564124,Hugh McArthur,Acting,0.6,female
nm0138286,Pat Carlyle,Acting,0.6,0
nm0255016,Paul Ellis,Acting,0.6,0
nm0697131,Roland Price,Crew,0.6,female
nm0385412,Carl Himm,Editing,0.6,0
nm0214984,Dorothy Dehn,Acting,0.6,0
nm0775770,Bernard Schubert,Writing,1.4,0
nm0469196,H.S. Kraft,Writing,0.648,0
nm0853623,Verree Teasdale,Acting,1.176,male
nm0718121,Max Reinhardt,Directing,0.6,female
nm0000636,William Shakespeare,Writing,1.926,female
nm0564610,"Mary C. McCall, Jr.",Writing,1.5530000000000002,male
nm0572492,Barbara McLean,Editing,0.6,male
nm0513744,W. P. Lipscomb,Writing,1.4,female
nm0000071,James Stewart,Acting,4.489,female
nm0924065,Tim Whelan,Directing,1.4,female
nm0383421,John C. Higgins,Writing,1.4,female
nm0710680,Harry Rapf,Production,0.6,female
nm0715304,Arthur Reed,Camera,0.6,female
nm0172875,June Collyer,Acting,1.5530000000000002,male
nm0330265,Huntley Gordon,Acting,1.7180000000000002,female
nm0576120,George Meeker,Acting,1.109,female
nm0762616,Clifford Sanforth,Production,0.652,0
nm0640784,Joseph O'Donnell,Writing,1.052,0
nm0377194,Clarence Hennecke,Writing,1.4,female
nm0177641,Karl R. Coolidge,Writing,0.6,0
nm0112927,James S. Brown Jr.,Camera,0.608,female
nm0485439,Lola Lane,Acting,1.4,male
nm0180987,Lloyd Corrigan,Acting,1.435,female
nm0355681,James Norman Hall,Writing,1.38,female
nm0421255,Talbot Jennings,Writing,2.086,female
nm0635079,Charles Nordhoff,Writing,1.048,female
nm0431889,Arline Judge,Acting,1.63,male
nm0912810,E. Alyn Warren,Acting,1.4,female
nm0631438,William Nigh,Directing,2.2680000000000002,female
nm0336956,Shirley Grey,Acting,1.052,male
nm0546657,Arthur Margetson,Acting,1.4,0
nm0929606,Edmund Willard,Acting,0.98,female
nm0166700,Denison Clift,Writing,1.38,0
nm0189159,Eric Cross,Camera,0.6,female
nm0265714,Geoffrey Faithfull,Camera,0.98,female
nm0248904,Nelson Eddy,Acting,1.4,female
nm0949995,Rida Johnson Young,Writing,0.98,0
nm0137634,Kitty Carlisle,Acting,2.38,male
nm0858440,A.E. Thomas,Writing,0.6,0
nm0775149,Joseph Schrank,Writing,0.884,0
nm0388232,Earle Hodgins,Acting,3.117,female
nm0849806,Robert Emmett Tansey,Writing,1.38,0
nm0526946,Ida Lupino,Acting,1.607,male
nm0556813,LeRoy Mason,Acting,1.092,0
nm0405057,William Hyer,Camera,0.6,female
nm0560091,Lester Matthews,Acting,1.8730000000000002,female
nm0484645,Lew Landers,Directing,1.4,female
nm0788082,Ted Shane,Writing,0.6,0
nm0649183,George Oppenheimer,Writing,1.7080000000000002,female
nm0001931,Binnie Barnes,Acting,1.3880000000000001,male
nm0818415,Bella Spewack,Writing,0.654,0
nm0818416,Sam Spewack,Writing,0.652,0
nm0130407,Joseph Calleia,Acting,1.4,0
nm0747844,J. Walter Ruben,Directing,0.738,female
nm0361877,Otto A. Harbach,Writing,0.98,0
nm0002317,Alice Duer Miller,Writing,1.176,male
nm0394967,Arthur Hornblow Jr.,Production,1.614,female
nm0092683,Mary Boland,Acting,1.052,male
nm0933491,Harry Leon Wilson,Writing,1.4,0
nm0860194,Harlan Thompson,Writing,0.6,0
nm0669277,Humphrey Pearson,Writing,0.6,female
nm0090058,Sydney Blythe,Camera,0.98,female
nm0382957,Seymour Hicks,Acting,1.385,female
nm0168205,Robert Cochran,Acting,0.98,female
nm0323384,Mary Glynne,Acting,0.6,male
nm0250038,Henry Edwards,Directing,1.02,female
nm0575197,H. Fowler Mear,Writing,1.122,female
nm0353414,Julius Hagen,Production,1.128,female
nm0274118,W.L. Trytel,Sound,0.6,female
nm0301099,Helen Gahagan,Acting,0.6,male
nm0390226,Lansing C. Holden,Directing,0.6,0
nm0353584,H. Rider Haggard,Writing,1.4,female
nm0058859,Michael Bartlett,Acting,1.22,0
nm0906940,Raymond Walburn,Acting,1.9180000000000001,0
nm0935507,Thyra Samter Winslow,Writing,0.6,0
nm0005872,Leon Shamroy,Camera,0.7020000000000001,female
nm0464401,Clarence Kolster,Editing,0.6,female
nm0600755,Martin Mooney,Writing,1.4,female
nm0446769,Paul Kelly,Acting,1.4,female
nm0516876,Gene Lockhart,Acting,1.286,female
nm0892044,Anthony Veiller,Writing,1.4,female
nm0122180,Ben Lucien Burman,Writing,0.6,0
nm0000731,Brian Aherne,Acting,3.202,female
nm0881148,Gladys Unger,Writing,1.5859999999999999,0
nm0171924,John Collier,Writing,0.7659999999999999,female
nm0533283,Compton MacKenzie,Writing,0.98,0
nm0457954,Sôji Kiyokawa,Acting,1.788,female
nm0645676,Denjirō Ōkōchi,Acting,1.4,female
nm0945468,Reisaburō Yamamoto,Acting,0.0,female
nm0945537,Sadao Yamanaka,Directing,1.094,0
nm0590839,Shintarô Mimura,Writing,1.62,female
nm1156001,Gorô Nishi,Sound,0.6,0
nm0946674,Jun Yasumoto,Camera,0.6,0
nm0812286,Minoru Takase,Acting,0.84,0
nm0256534,Fern Emmett,Acting,1.4,male
nm0033163,Masao Arata,Writing,0.828,0
nm0394722,Keizo Horiuchi,Sound,0.6,female
nm0391750,Ben Holmes,Directing,1.4,female
nm0778818,Allan Scott,Writing,0.652,female
nm0267022,Sándor Faragó,Writing,1.4,0
nm0005760,Günther Krampf,Camera,0.997,female
nm0445827,Bernhard Kellermann,Writing,0.98,0
nm0802561,Curt Siodmak,Writing,1.631,female
nm0668729,L. du Garde Peach,Writing,1.4,0
nm0374702,Stuart Heisler,Directing,1.7080000000000002,female
nm0826479,Anna Sten,Acting,1.054,male
nm0354531,Karl Hajos,Sound,1.4,female
nm0365255,Robert Harris,Writing,0.6,female
nm0827031,Harvey Stephens,Acting,1.5659999999999998,female
nm0335455,James Edward Grant,Writing,1.75,female
nm0152191,Robert Chapin,Writing,1.09,0
nm0232571,James Donlan,Acting,0.98,female
nm0410467,Wallace Irwin,Writing,0.6,0
nm0925212,Merrill G. White,Editing,0.6,female
nm0310723,Peter Gawthorne,Acting,0.0,female
nm0954394,Alfred Zeisler,Directing,1.614,female
nm0649155,E. Phillips Oppenheim,Writing,1.4,0
nm0005968,Werner Bochmann,Sound,0.98,female
nm0005740,Otto Heller,Camera,1.96,female
nm0006157,Erich Wolfgang Korngold,Sound,1.38,female
nm0020574,Hervey Allen,Writing,0.6,0
nm0471341,Milton Krims,Writing,0.98,female
nm0299397,Kaoru Futaba,Acting,0.6940000000000001,male
nm0879945,Ken Uehara,Acting,1.614,female
nm1688351,Einosuke Naka,Acting,0.6,0
nm0476673,Michiko Kuwano,Acting,0.84,male
nm0793646,Hiroshi Shimizu,Directing,1.9469999999999998,female
nm0442704,Yasunari Kawabata,Writing,2.2680000000000002,female
nm0031813,Isamu Aoki,Camera,1.4,female
nm1968057,Mayumi Tsukiji,Acting,0.6,0
nm0006338,William Walton,Sound,0.6,0
nm0074949,Elisabeth Bergner,Acting,1.4,male
nm0000059,Laurence Olivier,Acting,3.385,female
nm0829838,Sophie Stewart,Acting,1.38,male
nm0014680,Henry Ainley,Acting,0.6,0
nm0194492,Paul Czinner,Directing,0.6940000000000001,female
nm0191524,Robert Cullen,Writing,0.6,female
nm0436562,Alexandre Kamenka,Production,0.652,0
nm0697512,Suzy Prim,Acting,1.258,male
nm0392447,Jany Holt,Acting,0.6,male
nm0331003,Maxim Gorky,Writing,1.048,female
nm0759866,Yevgeni Zamyatin,Writing,0.6940000000000001,0
nm0173952,Jacques Companéez,Writing,1.96,female
nm0738780,Viviane Romance,Acting,1.4,male
nm0632946,Arys Nissotti,Production,0.6,0
nm0951218,Maurice Yvain,Sound,0.6,0
nm0287610,Marc Fossard,Camera,1.932,female
nm0801184,Robert L. Simpson,Editing,0.98,female
nm0682074,Walter Pidgeon,Acting,1.8119999999999998,female
nm0634313,Lloyd Nolan,Acting,2.208,female
nm0360127,Bert Hanlon,Acting,1.4,female
nm0166022,George T. Clemens,Camera,0.6,female
nm0792130,Ann Sheridan,Acting,1.555,male
nm0639895,Erin O'Brien-Moore,Acting,1.166,male
nm0603875,Antonio Moreno,Acting,1.305,female
nm0191901,Jack Cummings,Production,1.4,female
nm0146185,Walter Catlett,Acting,2.705,female
nm0937149,H.C. Witwer,Writing,0.6,0
nm0838843,Slim Summerville,Acting,2.12,female
nm0001171,Buddy Ebsen,Acting,0.7659999999999999,female
nm0723840,Laura E. Richards,Writing,0.98,male
nm0461549,Patric Knowles,Acting,3.247,female
nm0855139,Alfred Lord Tennyson,Writing,0.6,0
nm0415004,Michael Jacoby,Writing,1.564,0
nm0500284,Rowland Leigh,Writing,1.4,0
nm0873312,Alex Troffey,Editing,0.6,0
nm0525601,Keye Luke,Acting,1.646,female
nm0570222,John McGuire,Acting,1.5659999999999998,0
nm0213047,Shirley Deane,Acting,1.4,male
nm0201405,Scott Darling,Writing,1.4,0
nm0253892,Saul Elkins,Production,1.646,female
nm0789032,Helen Wood,Acting,0.6,male
nm0493005,Rosina Lawrence,Acting,1.3880000000000001,male
nm0703491,Charles Quigley,Acting,1.3969999999999998,female
nm0189093,Henrietta Crosman,Acting,1.048,male
nm0928781,Gordon Wiles,Art,0.652,female
nm0388976,Joseph Hoffman,Writing,1.03,female
nm0002068,Frances Farmer,Acting,1.7080000000000002,male
nm0933333,Dorothy Wilson,Acting,1.166,male
nm0446403,George Kelly,Writing,0.6,female
nm0064497,Marguerite Renoir,Editing,0.6,male
nm0282653,Florelle,Acting,1.4,male
nm0077598,Jules Berry,Acting,2.573,female
nm0529695,Marcel Lévesque,Acting,1.4,female
nm0699535,Jacques Prévert,Writing,1.02,female
nm0045404,Jean Bachelet,Camera,0.6,female
nm0401123,Marthe Huguet,Editing,0.6,0
nm0265815,Willy Faktorovitch,Camera,0.6,female
nm0496644,Roger Ledru,Camera,0.6,0
nm0844459,Hans Székely,Writing,1.4,female
nm0653188,Rafaela Ottiano,Acting,0.6,male
nm0498584,Herbert I. Leeds,Directing,1.7,female
nm0448836,Robert Kent,Acting,1.4,0
nm0943753,Robert Wyler,Production,0.98,female
nm0390192,Gloria Holden,Acting,1.4,male
nm0161451,Marguerite Churchill,Acting,1.7080000000000002,male
nm0888000,Edward Van Sloan,Acting,1.579,female
nm0385171,Lambert Hillyer,Directing,1.646,0
nm0005867,Eugen Schüfftan,Camera,0.6,female
nm0001922,Jean-Pierre Aumont,Acting,1.3119999999999998,female
nm0138893,Marcel Carné,Directing,2.338,female
nm0167202,J. Storer Clouston,Writing,0.6,0
nm0089314,Eric Blore,Acting,2.713,0
nm0225458,Basil Dickey,Writing,1.4,0
nm0736939,Jean Rogers,Acting,1.4,male
nm0585481,Charles Middleton,Acting,1.4,female
